/home/ali.lawati/mol-incontext/output/test.mistral-7B.csv, tokens/sec: 26.0, time 13.074745893478394, total tokens 350, total prompts 1
/home/ali.lawati/mol-incontext/output/test.mistral-7B.csv, tokens/sec: 21.0, time 16.404314279556274, total tokens 350, total prompts 1
/home/ali.lawati/mol-incontext/output/test.mistral-7B.csv, tokens/sec: 22.0, time 15.784004926681519, total tokens 350, total prompts 1
/home/ali.lawati/mol-incontext/output/test.mistral-7B.csv, tokens/sec: 29.0, time 12.04194688796997, total tokens 350, total prompts 1
/home/ali.lawati/mol-incontext/output/gae-gcl-customloss-2-dimAlpha-epochs100-ensure-diff.mistral-7B.csv, tokens/sec: 27.0, time 12.661162853240967, total tokens 350, total prompts 1
/home/ali.lawati/mol-incontext/output/gae-gcl-customloss-2-dimAlpha-epochs100-ensure-diff.mistral-7B.csv, tokens/sec: 48.0, time 725.5464630126953, total tokens 35000, total prompts 100
/home/ali.lawati/mol-incontext/output/mmcl-chebi-2-epochs100-ensure-diff.mistral-7B.csv, tokens/sec: 410.0, time 85.34959077835083, total tokens 35000, total prompts 100
/home/ali.lawati/mol-incontext/output/gae-gcl-customloss-3-dimAlpha-epochs100-ensure-diff.mistral-7B.csv, tokens/sec: 358.0, time 97.67160701751709, total tokens 35000, total prompts 100
/home/ali.lawati/mol-incontext/output/mmcl-chebi-3-epochs100-ensure-diff.mistral-7B.csv, tokens/sec: 335.0, time 104.46235275268555, total tokens 35000, total prompts 100
/home/ali.lawati/mol-incontext/output/mmcl-chebi-4-epochs100-ensure-diff.mistral-7B.csv, tokens/sec: 320.0, time 109.22128248214722, total tokens 35000, total prompts 100
/home/ali.lawati/mol-incontext/output/mmcl-chebi-5-epochs100-ensure-diff.mistral-7B.csv, tokens/sec: 292.0, time 119.69126844406128, total tokens 35000, total prompts 100
/home/ali.lawati/mol-incontext/output/mmcl-chebi-4-epochs100-ensure-diff.mistral-7B.csv, tokens/sec: 367.0, time 953.5256907939911, total tokens 350000, total prompts 1000
/home/ali.lawati/mol-incontext/output/mmcl-chebi-3-epochs100-ensure-diff.mistral-7B.csv, tokens/sec: 414.0, time 843.9363422393799, total tokens 350000, total prompts 1000
/home/ali.lawati/mol-incontext/output/mmcl-chebi-2-epochs100-ensure-diff.mistral-7B.csv, tokens/sec: 42.0, time 81.58052659034729, total tokens 3500, total prompts 10
/home/ali.lawati/mol-incontext/output/mmcl-chebi-2-epochs100-ensure-diff.mistral-7B.10.csv, tokens/sec: 43.0, time 80.91953468322754, total tokens 3500, total prompts 10
/home/ali.lawati/mol-incontext/output/mmcl-chebi-2-epochs100-ensure-diff.mistral-7B.10.csv, tokens/sec: 43.0, time 80.81770014762878, total tokens 3500, total prompts 10
/home/ali.lawati/mol-incontext/output/mmcl-chebi-2-epochs100-ensure-diff.mistral-7B.10.csv, tokens/sec: 43.0, time 80.76348876953125, total tokens 3500, total prompts 10
/home/ali.lawati/mol-incontext/output/mmcl-chebi-3-epochs100-ensure-diff.mistral-7B.100.csv, tokens/sec: 227.0, time 153.55798435211182, total tokens 35000, total prompts 100
/home/ali.lawati/mol-incontext/output/mmcl-chebi-3-epochs150-20140924.mistral-7B.csv, tokens/sec: 359.0, time 97.39241576194763, total tokens 35000, total prompts 100
/home/ali.lawati/mol-incontext/output/mmcl-chebi-2-epochs150-20140924.mistral-7B.csv, tokens/sec: 73.0, time 477.26978516578674, total tokens 35000, total prompts 100
/home/ali.lawati/mol-incontext/output/mmcl-chebi-4-epochs150-20140924.mistral-7B.csv, tokens/sec: 294.0, time 119.02177429199219, total tokens 35000, total prompts 100
/home/ali.lawati/mol-incontext/output/mmcl-chebi-1-epochs150-20140924.mistral-7B.csv, tokens/sec: 81.0, time 430.22973823547363, total tokens 35000, total prompts 100
/home/ali.lawati/mol-incontext/output/mmcl-chebi-4-epochs150-20140924.mistral-7B.csv, tokens/sec: 338.0, time 1034.2145764827728, total tokens 350000, total prompts 1000
/home/ali.lawati/mol-incontext/output/mmcl_attr-chebi-1-epochs300-20140924.mistral-7B.csv, tokens/sec: 263.0, time 132.57840061187744, total tokens 35000, total prompts 100
/home/ali.lawati/mol-incontext/output/mmcl_attr-chebi-2-epochs300-20140924.mistral-7B.csv, tokens/sec: 83.0, time 419.2219171524048, total tokens 35000, total prompts 100
/home/ali.lawati/mol-incontext/output/mmcl_attr-chebi-3-epochs300-20140924.mistral-7B.csv, tokens/sec: 208.0, time 168.16615176200867, total tokens 35000, total prompts 100
/home/ali.lawati/mol-incontext/output/mmcl_attr-chebi-4-epochs300-20140924.mistral-7B.csv, tokens/sec: 175.0, time 199.8624632358551, total tokens 35000, total prompts 100
/home/ali.lawati/mol-incontext/output/mmcl_attr-chebi-5-epochs300-20140924.mistral-7B.csv, tokens/sec: 168.0, time 207.40908002853394, total tokens 35000, total prompts 100
/home/ali.lawati/mol-incontext/output/mmcl_attr-chebi-5-epochs300-20140924.mistral-7B.csv, tokens/sec: 184.0, time 1895.9652750492096, total tokens 350000, total prompts 1000
/home/ali.lawati/mol-incontext/output/mmcl-chebi-4-epochs300-20140924.mistral-7B.csv, tokens/sec: 303.0, time 115.39896368980408, total tokens 35000, total prompts 100
/home/ali.lawati/mol-incontext/output/mmcl-chebi-4-epochs300-20140924.mistral-7B.csv, tokens/sec: 339.0, time 1030.1557207107544, total tokens 350000, total prompts 1000
/home/ali.lawati/mol-incontext/output/mmcl_attr-chebi-4-epochs300-loop.mistral-7B.csv, tokens/sec: 292.0, time 119.86119318008423, total tokens 35000, total prompts 100
/home/ali.lawati/mol-incontext/output/mmcl_attr-chebi-3-epochs300-loop.mistral-7B.csv, tokens/sec: 224.0, time 5145.8261177539825, total tokens 1153950, total prompts 3297
/home/ali.lawati/mol-incontext/output/mmcl_attr-chebi-4-epochs300-loop.mistral-7B.csv, tokens/sec: 390.0, time 89.5905818939209, total tokens 35000, total prompts 100
/home/ali.lawati/mol-incontext/output/mmcl_attr-chebi-1-epochs300-loop.mistral-7B.csv, tokens/sec: 878.0, time 1313.3857254981995, total tokens 1153950, total prompts 3297
/home/ali.lawati/mol-incontext/output/mmcl_attr-chebi-2-epochs300-loop.mistral-7B.csv, tokens/sec: 683.0, time 1688.466105222702, total tokens 1153950, total prompts 3297
/home/ali.lawati/mol-incontext/output/mmcl_attr-chebi-3-epochs300-loop.mistral-7B.csv, tokens/sec: 554.0, time 2079.2826070785522, total tokens 1153950, total prompts 3297
